x,y,t
0.050799997329711896,0.022900001525878913,0.42
0.0560499973297119,0.030250000000000013,0.43
0.0616999988555908,0.038500000000000006,0.44
0.06735000038146971,0.04705000305175783,0.45
0.07340000343322753,0.05785000610351565,0.46
0.0789499988555908,0.06855000305175782,0.47
0.08400000190734862,0.08085000610351564,0.48
0.08994999885559081,0.09405000305175781,0.49
0.09535000038146971,0.10785000610351564,0.5
0.10099999427795409,0.12305000305175784,0.51
0.10624999427795409,0.13860000610351564,0.52
0.11190000343322754,0.15605000305175784,0.53
0.11815000343322751,0.17375001525878908,0.54
0.12399999427795408,0.19309999084472657,0.55
0.13065000343322752,0.19200001525878907,0.56
0.15315000343322752,0.1812500152587891,0.57
